mode,scenario,graphics,pause_ms,trials,delivered,readable_stalls,other_failures,restored,key_samples,p50_us,p95_us,max_us,drained_bytes,frames
context,normal,true,150,20,20,0,0,20,60,2548,6174,7365,18335925,131
context,resize-key,true,150,20,20,0,0,20,20,73,682,1962,10082172,124
context,key-resize,true,150,20,20,0,0,20,20,24445,25821,27695,5532648,79
context,coincident,true,150,20,0,20,0,20,0,0,0,0,39136774,559
context,slow-drain,true,150,20,20,0,0,20,20,76579,77926,78220,6723620,100
context,burst,true,150,20,20,0,0,20,60,44,6157,8635,38909342,278
context,storm,true,150,20,20,0,0,20,60,2423,10047,10922,17680513,120
raw,normal,true,20,20,20,0,0,20,60,66,7364,7733,16656464,119
raw,resize-key,true,20,20,20,0,0,20,20,49,77,79,9802120,120
raw,key-resize,true,20,20,20,0,0,20,20,21436,21718,21902,4482468,64
raw,coincident,true,20,20,20,0,0,20,20,10680,11089,11836,4272432,61
raw,slow-drain,true,20,20,20,0,0,20,20,13482,13885,14772,5743080,80
raw,burst,true,20,20,20,0,0,20,60,226,7352,7408,31631662,226
raw,storm,true,20,20,20,0,0,20,60,60,959,1959,16008309,111
crossterm,normal,true,20,20,20,0,0,20,60,66,7346,7726,16796420,120
crossterm,resize-key,true,20,20,20,0,0,20,20,57,81,81,9802120,120
crossterm,key-resize,true,20,20,20,0,0,20,20,21436,21696,21844,4762516,68
crossterm,coincident,true,20,20,0,20,0,20,0,0,0,0,36406620,520
crossterm,slow-drain,true,20,20,0,20,0,20,0,0,0,0,28934057,553
crossterm,burst,true,20,20,20,0,0,20,60,1363,7535,8524,31071834,222
crossterm,storm,true,20,20,20,0,0,20,60,56,93,698,17442447,116
context,normal,true,20,20,20,0,0,20,60,2542,7106,7509,18335925,131
context,resize-key,true,20,20,20,0,0,20,20,584,835,860,10082172,124
context,key-resize,true,20,20,20,0,0,20,20,24221,25186,25302,5602660,80
context,coincident,true,20,20,0,20,0,20,0,0,0,0,39136774,559
context,slow-drain,true,20,20,20,0,0,20,20,45,706,1005,6723620,100
context,burst,true,20,20,20,0,0,20,60,179,5269,6273,38069618,272
context,storm,true,20,20,20,0,0,20,60,1408,9845,11271,17354109,120
raw,normal,true,60,20,20,0,0,20,60,54,7445,7749,16656464,119
raw,resize-key,true,60,20,20,0,0,20,20,41,938,973,9802120,120
raw,key-resize,true,60,20,20,0,0,20,20,21499,21716,21787,4412456,63
raw,coincident,true,60,20,20,0,0,20,20,10609,10907,10931,4482468,64
raw,slow-drain,true,60,20,20,0,0,20,20,33049,34509,35174,5743080,80
raw,burst,true,60,20,20,0,0,20,60,2634,7372,7484,31351748,224
raw,storm,true,60,20,20,0,0,20,60,46,908,1001,16542521,116
crossterm,normal,true,60,20,20,0,0,20,60,74,7487,9238,16096640,115
crossterm,resize-key,true,60,20,20,0,0,20,20,46,74,78,9802120,120
crossterm,key-resize,true,60,20,20,0,0,20,20,21569,22019,22081,4622492,66
crossterm,coincident,true,60,20,0,20,0,20,0,0,0,0,36406620,520
crossterm,slow-drain,true,60,20,0,20,0,20,0,0,0,0,29081144,556
crossterm,burst,true,60,20,20,0,0,20,60,282,6638,7555,31911576,228
crossterm,storm,true,60,20,19,1,0,20,57,58,122,162,21287985,131
context,normal,true,60,20,20,0,0,20,60,2682,6503,9468,18615835,133
context,resize-key,true,60,20,20,0,0,20,20,94,682,757,10152185,125
context,key-resize,true,60,20,20,0,0,20,20,24375,25468,25574,5602660,80
context,coincident,true,60,20,0,20,0,20,0,0,0,0,38922206,556
context,slow-drain,true,60,20,20,0,0,20,20,31811,32880,33297,6723620,100
context,burst,true,60,20,20,0,0,20,60,211,7341,7565,39049299,279
context,storm,true,60,20,20,0,0,20,60,2381,9773,11147,17764429,120
raw,normal,false,0,20,20,0,0,20,60,64,269,652,0,0
raw,resize-key,false,0,20,20,0,0,20,20,57,83,90,0,0
raw,key-resize,false,0,20,20,0,0,20,20,21143,21383,21557,0,0
raw,coincident,false,0,20,20,0,0,20,20,10426,10831,10902,0,0
raw,slow-drain,false,0,20,20,0,0,20,20,61,83,103,0,0
raw,burst,false,0,20,20,0,0,20,60,64,443,831,0,0
raw,storm,false,0,20,20,0,0,20,60,114,442,747,0,0
crossterm,normal,false,0,20,20,0,0,20,60,70,762,1132,0,0
crossterm,resize-key,false,0,20,20,0,0,20,20,56,85,3575,0,0
crossterm,key-resize,false,0,20,20,0,0,20,20,21267,21560,21596,0,0
crossterm,coincident,false,0,20,0,20,0,20,0,0,0,0,0,0
crossterm,slow-drain,false,0,20,20,0,0,20,20,75,1137,1176,0,0
crossterm,burst,false,0,20,20,0,0,20,60,79,683,874,0,0
crossterm,storm,false,0,20,20,0,0,20,60,62,109,231,0,0
context,normal,false,0,20,20,0,0,20,60,880,1067,1087,1560,0
context,resize-key,false,0,20,20,0,0,20,20,787,1113,1633,1560,0
context,key-resize,false,0,20,20,0,0,20,20,21334,21701,21825,1560,0
context,coincident,false,0,20,0,20,0,20,0,0,0,0,1560,0
context,slow-drain,false,0,20,12,8,0,20,12,1002,1146,1146,1560,0
context,burst,false,0,20,20,0,0,20,60,905,1116,1454,1560,0
context,storm,false,0,20,20,0,0,20,60,458,1111,1129,1560,0
